pid	ppid	status_name	stat_comm	user	kthread	state	policy	priority	nice	threads	rss_kb	vsz_kb	pss_kb	socket_count	fd_devices	exe	cmdline	cgroup
73	2	ktimers/5	ktimers/5	root	1		FF	41	-	1	0	0						
74	2	ksoftirqd/5	ksoftirqd/5	root	1		TS	19	0	1	0	0						
75	2	kworker/5:0-events	kworker/5:0-events	root	1		TS	19	0	1	0	0						
76	2	kworker/5:0H-kblockd	kworker/5:0H-kblockd	root	1		TS	39	-20	1	0	0						
77	2	rcuop/5	rcuop/5	root	1		FF	41	-	1	0	0						
78	2	cpuhp/6	cpuhp/6	root	1		TS	19	0	1	0	0						
79	2	idle_inject/6	idle_inject/6	root	1		FF	90	-	1	0	0						
80	2	irq_work/6	irq_work/6	root	1		FF	41	-	1	0	0						
81	2	migration/6	migration/6	root	1		FF	139	-	1	0	0						
82	2	rcuc/6	rcuc/6	root	1		FF	41	-	1	0	0						
83	2	ktimers/6	ktimers/6	root	1		FF	41	-	1	0	0						
84	2	ksoftirqd/6	ksoftirqd/6	root	1		TS	19	0	1	0	0						
85	2	kworker/6:0-events	kworker/6:0-events	root	1		TS	19	0	1	0	0						
86	2	kworker/6:0H-events_highpri	kworker/6:0H-events_highpri	root	1		TS	39	-20	1	0	0						
87	2	rcuop/6	rcuop/6	root	1		FF	41	-	1	0	0						
88	2	cpuhp/7	cpuhp/7	root	1		TS	19	0	1	0	0						
89	2	idle_inject/7	idle_inject/7	root	1		FF	90	-	1	0	0						
90	2	irq_work/7	irq_work/7	root	1		FF	41	-	1	0	0						
91	2	migration/7	migration/7	root	1		FF	139	-	1	0	0						
92	2	rcuc/7	rcuc/7	root	1		FF	41	-	1	0	0						
93	2	ktimers/7	ktimers/7	root	1		FF	41	-	1	0	0						
94	2	ksoftirqd/7	ksoftirqd/7	root	1		TS	19	0	1	0	0						
95	2	kworker/7:0-rcu_gp	kworker/7:0-rcu_gp	root	1		TS	19	0	1	0	0						
96	2	kworker/7:0H-events_highpri	kworker/7:0H-events_highpri	root	1		TS	39	-20	1	0	0						
97	2	rcuop/7	rcuop/7	root	1		FF	41	-	1	0	0						
98	2	cpuhp/8	cpuhp/8	root	1		TS	19	0	1	0	0						
99	2	idle_inject/8	idle_inject/8	root	1		FF	90	-	1	0	0						
100	2	irq_work/8	irq_work/8	root	1		FF	41	-	1	0	0						
101	2	migration/8	migration/8	root	1		FF	139	-	1	0	0						
102	2	rcuc/8	rcuc/8	root	1		FF	41	-	1	0	0						
103	2	ktimers/8	ktimers/8	root	1		FF	41	-	1	0	0						
104	2	ksoftirqd/8	ksoftirqd/8	root	1		TS	19	0	1	0	0						
105	2	kworker/8:0-rcu_gp	kworker/8:0-rcu_gp	root	1		TS	19	0	1	0	0						
106	2	kworker/8:0H-kblockd	kworker/8:0H-kblockd	root	1		TS	39	-20	1	0	0						
107	2	rcuog/8	rcuog/8	root	1		FF	41	-	1	0	0						
108	2	rcuop/8	rcuop/8	root	1		FF	41	-	1	0	0						
109	2	cpuhp/9	cpuhp/9	root	1		TS	19	0	1	0	0						
110	2	idle_inject/9	idle_inject/9	root	1		FF	90	-	1	0	0						
111	2	irq_work/9	irq_work/9	root	1		FF	41	-	1	0	0						
112	2	migration/9	migration/9	root	1		FF	139	-	1	0	0						
113	2	rcuc/9	rcuc/9	root	1		FF	41	-	1	0	0						
114	2	ktimers/9	ktimers/9	root	1		FF	41	-	1	0	0						
115	2	ksoftirqd/9	ksoftirqd/9	root	1		TS	19	0	1	0	0						
116	2	kworker/9:0-events	kworker/9:0-events	root	1		TS	19	0	1	0	0						
117	2	kworker/9:0H-kblockd	kworker/9:0H-kblockd	root	1		TS	39	-20	1	0	0						
118	2	rcub/2	rcub/2	root	1		FF	41	-	1	0	0						
119	2	rcuop/9	rcuop/9	root	1		FF	41	-	1	0	0						
120	2	cpuhp/10	cpuhp/10	root	1		TS	19	0	1	0	0						
121	2	idle_inject/10	idle_inject/10	root	1		FF	90	-	1	0	0						
122	2	irq_work/10	irq_work/10	root	1		FF	41	-	1	0	0						
123	2	migration/10	migration/10	root	1		FF	139	-	1	0	0						
124	2	rcuc/10	rcuc/10	root	1		FF	41	-	1	0	0						
125	2	ktimers/10	ktimers/10	root	1		FF	41	-	1	0	0						
126	2	ksoftirqd/10	ksoftirqd/10	root	1		TS	19	0	1	0	0						
127	2	kworker/10:0-events	kworker/10:0-events	root	1		TS	19	0	1	0	0						
128	2	kworker/10:0H-events_highpri	kworker/10:0H-events_highpri	root	1		TS	39	-20	1	0	0						
129	2	rcuop/10	rcuop/10	root	1		FF	41	-	1	0	0						
130	2	cpuhp/11	cpuhp/11	root	1		TS	19	0	1	0	0						
131	2	idle_inject/11	idle_inject/11	root	1		FF	90	-	1	0	0						
132	2	irq_work/11	irq_work/11	root	1		FF	41	-	1	0	0						
133	2	migration/11	migration/11	root	1		FF	139	-	1	0	0						
134	2	rcuc/11	rcuc/11	root	1		FF	41	-	1	0	0						
135	2	ktimers/11	ktimers/11	root	1		FF	41	-	1	0	0						
136	2	ksoftirqd/11	ksoftirqd/11	root	1		TS	19	0	1	0	0						
138	2	kworker/11:0H-events_highpri	kworker/11:0H-events_highpri	root	1		TS	39	-20	1	0	0						
139	2	rcuop/11	rcuop/11	root	1		FF	41	-	1	0	0						
140	2	cpuhp/12	cpuhp/12	root	1		TS	19	0	1	0	0						
141	2	idle_inject/12	idle_inject/12	root	1		FF	90	-	1	0	0						
142	2	irq_work/12	irq_work/12	root	1		FF	41	-	1	0	0						
143	2	migration/12	migration/12	root	1		FF	139	-	1	0	0						
144	2	rcuc/12	rcuc/12	root	1		FF	41	-	1	0	0						
145	2	ktimers/12	ktimers/12	root	1		FF	41	-	1	0	0						
146	2	ksoftirqd/12	ksoftirqd/12	root	1		TS	19	0	1	0	0						
148	2	kworker/12:0H-events_highpri	kworker/12:0H-events_highpri	root	1		TS	39	-20	1	0	0						
149	2	rcuog/12	rcuog/12	root	1		FF	41	-	1	0	0						
150	2	rcuop/12	rcuop/12	root	1		FF	41	-	1	0	0						
151	2	cpuhp/13	cpuhp/13	root	1		TS	19	0	1	0	0						
152	2	idle_inject/13	idle_inject/13	root	1		FF	90	-	1	0	0						
153	2	irq_work/13	irq_work/13	root	1		FF	41	-	1	0	0						
154	2	migration/13	migration/13	root	1		FF	139	-	1	0	0						
155	2	rcuc/13	rcuc/13	root	1		FF	41	-	1	0	0						
156	2	ktimers/13	ktimers/13	root	1		FF	41	-	1	0	0						
157	2	ksoftirqd/13	ksoftirqd/13	root	1		TS	19	0	1	0	0						
159	2	kworker/13:0H-kblockd	kworker/13:0H-kblockd	root	1		TS	39	-20	1	0	0						
160	2	rcuop/13	rcuop/13	root	1		FF	41	-	1	0	0						
161	2	cpuhp/14	cpuhp/14	root	1		TS	19	0	1	0	0						
162	2	idle_inject/14	idle_inject/14	root	1		FF	90	-	1	0	0						
163	2	irq_work/14	irq_work/14	root	1		FF	41	-	1	0	0						
164	2	migration/14	migration/14	root	1		FF	139	-	1	0	0						
165	2	rcuc/14	rcuc/14	root	1		FF	41	-	1	0	0						
166	2	ktimers/14	ktimers/14	root	1		FF	41	-	1	0	0						
167	2	ksoftirqd/14	ksoftirqd/14	root	1		TS	19	0	1	0	0						
169	2	kworker/14:0H-kblockd	kworker/14:0H-kblockd	root	1		TS	39	-20	1	0	0						
170	2	rcuop/14	rcuop/14	root	1		FF	41	-	1	0	0						
171	2	cpuhp/15	cpuhp/15	root	1		TS	19	0	1	0	0						
172	2	idle_inject/15	idle_inject/15	root	1		FF	90	-	1	0	0						
173	2	irq_work/15	irq_work/15	root	1		FF	41	-	1	0	0						
174	2	migration/15	migration/15	root	1		FF	139	-	1	0	0						
175	2	rcuc/15	rcuc/15	root	1		FF	41	-	1	0	0						
176	2	ktimers/15	ktimers/15	root	1		FF	41	-	1	0	0						
177	2	ksoftirqd/15	ksoftirqd/15	root	1		TS	19	0	1	0	0						
178	2	kworker/15:0-rcu_gp	kworker/15:0-rcu_gp	root	1		TS	19	0	1	0	0						
179	2	kworker/15:0H-events_highpri	kworker/15:0H-events_highpri	root	1		TS	39	-20	1	0	0						
180	2	rcuop/15	rcuop/15	root	1		FF	41	-	1	0	0						
181	2	cpuhp/16	cpuhp/16	root	1		TS	19	0	1	0	0						
182	2	idle_inject/16	idle_inject/16	root	1		FF	90	-	1	0	0						
183	2	irq_work/16	irq_work/16	root	1		FF	41	-	1	0	0						
184	2	migration/16	migration/16	root	1		FF	139	-	1	0	0						
185	2	rcuc/16	rcuc/16	root	1		FF	41	-	1	0	0						
186	2	ktimers/16	ktimers/16	root	1		FF	41	-	1	0	0						
187	2	ksoftirqd/16	ksoftirqd/16	root	1		TS	19	0	1	0	0						
189	2	kworker/16:0H-kblockd	kworker/16:0H-kblockd	root	1		TS	39	-20	1	0	0						
190	2	rcuog/16	rcuog/16	root	1		FF	41	-	1	0	0						
191	2	rcuop/16	rcuop/16	root	1		FF	41	-	1	0	0						
192	2	cpuhp/17	cpuhp/17	root	1		TS	19	0	1	0	0						
193	2	idle_inject/17	idle_inject/17	root	1		FF	90	-	1	0	0						
194	2	irq_work/17	irq_work/17	root	1		FF	41	-	1	0	0						
195	2	migration/17	migration/17	root	1		FF	139	-	1	0	0						
196	2	rcuc/17	rcuc/17	root	1		FF	41	-	1	0	0						
197	2	ktimers/17	ktimers/17	root	1		FF	41	-	1	0	0						
198	2	ksoftirqd/17	ksoftirqd/17	root	1		TS	19	0	1	0	0						
200	2	kworker/17:0H-events_highpri	kworker/17:0H-events_highpri	root	1		TS	39	-20	1	0	0						
201	2	rcuop/17	rcuop/17	root	1		FF	41	-	1	0	0						
207	2	kdevtmpfs	kdevtmpfs	root	1		TS	19	0	1	0	0						
208	2	kworker/R-inet_	kworker/R-inet_	root	1		TS	39	-20	1	0	0						
209	2	kworker/0:2-rcu_gp	kworker/0:2-rcu_gp	root	1		TS	19	0	1	0	0						
211	2	kworker/1:2-events	kworker/1:2-events	root	1		TS	19	0	1	0	0						
212	2	kauditd	kauditd	root	1		TS	19	0	1	0	0						
213	2	khungtaskd	khungtaskd	root	1		TS	19	0	1	0	0						
214	2	oom_reaper	oom_reaper	root	1		TS	19	0	1	0	0						
216	2	kworker/R-write	kworker/R-write	root	1		TS	39	-20	1	0	0						
217	2	kcompactd0	kcompactd0	root	1		TS	19	0	1	0	0						
218	2	kworker/R-kinte	kworker/R-kinte	root	1		TS	39	-20	1	0	0						
219	2	kworker/R-kbloc	kworker/R-kbloc	root	1		TS	39	-20	1	0	0						
220	2	kworker/R-tpm_d	kworker/R-tpm_d	root	1		TS	39	-20	1	0	0						
221	2	kworker/R-ata_s	kworker/R-ata_s	root	1		TS	39	-20	1	0	0						
222	2	kworker/R-edac-	kworker/R-edac-	root	1		TS	39	-20	1	0	0						
223	2	irq/15-qcom-scm	irq/15-qcom-scm	root	1		FF	90	-	1	0	0						
224	2	kworker/R-devfr	kworker/R-devfr	root	1		TS	39	-20	1	0	0						
225	2	watchdogd	watchdogd	root	1		FF	90	-	1	0	0						
229	2	kworker/1:1H-kblockd	kworker/1:1H-kblockd	root	1		TS	39	-20	1	0	0						
230	2	kworker/R-rpcio	kworker/R-rpcio	root	1		TS	39	-20	1	0	0						
231	2	kworker/R-xprti	kworker/R-xprti	root	1		TS	39	-20	1	0	0						
232	2	kswapd0	kswapd0	root	1		TS	19	0	1	0	0						
233	2	kworker/R-nfsio	kworker/R-nfsio	root	1		TS	39	-20	1	0	0						
234	2	kworker/3:1-rcu_gp	kworker/3:1-rcu_gp	root	1		TS	19	0	1	0	0						
237	2	irq/17-arm-smmu global fault	irq/17-arm-smmu global fault	root	1		FF	90	-	1	0	0						
238	2	irq/76-arm-smmu global fault	irq/76-arm-smmu global fault	root	1		FF	90	-	1	0	0						
239	2	irq/113-arm-smmu global fault	irq/113-arm-smmu global fault	root	1		FF	90	-	1	0	0						
240	2	irq/16-virtio0	irq/16-virtio0	root	1		FF	90	-	1	0	0						
241	2	kworker/R-ixgbe	kworker/R-ixgbe	root	1		TS	39	-20	1	0	0						
242	2	kworker/R-ixgbe	kworker/R-ixgbe	root	1		TS	39	-20	1	0	0						
243	2	kworker/R-vfio-	kworker/R-vfio-	root	1		TS	39	-20	1	0	0						
244	2	kworker/R-uas	kworker/R-uas	root	1		TS	39	-20	1	0	0						
245	2	irq/186-tscss_fusa_irq	irq/186-tscss_fusa_irq	root	1		FF	90	-	1	0	0						
246	2	irq/187-c22c000.thermal-sensor	irq/187-c22c000.thermal-sensor	root	1		FF	90	-	1	0	0						
247	2	irq/188-c22c000.thermal-sensor	irq/188-c22c000.thermal-sensor	root	1		FF	90	-	1	0	0						
248	2	irq/189-c22d000.thermal-sensor	irq/189-c22d000.thermal-sensor	root	1		FF	90	-	1	0	0						
249	2	irq/190-c22d000.thermal-sensor	irq/190-c22d000.thermal-sensor	root	1		FF	90	-	1	0	0						
250	2	irq/191-c22e000.thermal-sensor	irq/191-c22e000.thermal-sensor	root	1		FF	90	-	1	0	0						
251	2	irq/192-c22e000.thermal-sensor	irq/192-c22e000.thermal-sensor	root	1		FF	90	-	1	0	0						
252	2	irq/193-c22f000.thermal-sensor	irq/193-c22f000.thermal-sensor	root	1		FF	90	-	1	0	0						
253	2	irq/194-c22f000.thermal-sensor	irq/194-c22f000.thermal-sensor	root	1		FF	90	-	1	0	0						
254	2	irq/195-c230000.thermal-sensor	irq/195-c230000.thermal-sensor	root	1		FF	90	-	1	0	0						
255	2	irq/196-c230000.thermal-sensor	irq/196-c230000.thermal-sensor	root	1		FF	90	-	1	0	0						
256	2	irq/197-c231000.thermal-sensor	irq/197-c231000.thermal-sensor	root	1		FF	90	-	1	0	0						
257	2	irq/198-c231000.thermal-sensor	irq/198-c231000.thermal-sensor	root	1		FF	90	-	1	0	0						
258	2	irq/199-c232000.thermal-sensor	irq/199-c232000.thermal-sensor	root	1		FF	90	-	1	0	0						
259	2	irq/200-c232000.thermal-sensor	irq/200-c232000.thermal-sensor	root	1		FF	90	-	1	0	0						
